DOI,poci,openalex,coci,venue,publication_year,is_oa
10.3390/electronics11213594,False,True,True,Electronics,2022,True
10.1016/j.media.2022.102704,False,True,True,Medical Image Analysis,2022,True
10.3390/app122312163,False,True,True,Applied sciences,2022,True
10.1109/bibm55620.2022.9994849,False,True,False,2022 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),2022,False
10.1007/978-3-031-23443-9_2,False,True,False,Lecture Notes in Computer Science,2022,False
10.1007/978-3-030-12029-0_42,False,True,True,Lecture Notes in Computer Science,2018,False
10.1063/1.5134397,False,True,True,"PHYSICS, TECHNOLOGIES AND INNOVATION (PTI-2019): Proceedings of the VI International Young Researchers’ Conference",2019,False
10.48550/arxiv.2002.12680,False,True,False,arXiv (Cornell University),2020,True
10.1007/978-3-030-50120-4_10,False,True,True,Lecture Notes in Computer Science,2020,True
10.1016/j.irbm.2020.06.004,False,True,True,Irbm,2020,False
10.48550/arxiv.2008.11109,False,True,True,arXiv (Cornell University),2020,True
10.1109/cbms49503.2020.00116,False,True,True,Computer-Based Medical Systems,2020,False
10.1109/is48319.2020.9199844,False,True,True,IEEE International Conference on Intelligent Systems,2020,True
10.1007/978-3-030-59520-3_8,False,True,True,Lecture Notes in Computer Science,2020,False
10.1007/978-3-030-62743-0_9,False,True,True,Advances in intelligent systems and computing,2020,False
10.48550/arxiv.2011.08769,False,True,True,arXiv (Cornell University),2020,True
10.48550/arxiv.2011.08761,False,True,False,arXiv (Cornell University),2020,True
10.1101/2020.12.01.405969,False,True,True,bioRxiv,2020,True
10.1007/978-3-030-65651-5_12,False,True,True,Lecture Notes in Computer Science,2020,False
10.3389/fcvm.2022.804442,False,True,True,Frontiers in Cardiovascular Medicine,2022,True
10.1109/tbme.2022.3232730,False,True,False,arXiv (Cornell University),2020,True
10.1088/1742-6596/1714/1/012021,False,True,True,Journal of physics,2021,True
10.22489/cinc.2020.247,False,True,False,Computing in Cardiology Conference,2020,True
10.1145/3434780.3436652,False,True,True,Technological Ecosystems for Enhancing Multiculturality,2020,False
10.48550/arxiv.2101.10799,False,True,False,arXiv (Cornell University),2021,True
10.1007/978-3-030-65651-5_16,False,True,True,Lecture Notes in Computer Science,2020,True
10.48550/arxiv.2102.01549,False,True,False,arXiv (Cornell University),2021,True
10.1007/978-3-030-68107-4_32,False,True,True,Lecture Notes in Computer Science,2020,False
10.1007/978-3-030-68107-4_37,False,True,True,Lecture Notes in Computer Science,2020,False
10.1016/b978-0-12-820273-9.00010-5,False,True,True,,2021,False
10.1007/s10278-021-00529-z,False,True,True,Journal of Digital Imaging,2022,True
10.1155/2021/9960199,False,True,True,Computational and Mathematical Methods in Medicine,2021,True
10.3389/fnins.2021.652073,False,True,True,Frontiers in Neuroscience,2021,True
10.1016/j.compmedimag.2021.101942,False,True,True,Computerized Medical Imaging and Graphics,2021,True
10.48550/arxiv.2107.04886,False,True,False,arXiv (Cornell University),2021,True
10.48550/arxiv.2107.05532,False,True,False,arXiv (Cornell University),2021,True
10.1109/tmi.2022.3203309,False,True,False,IEEE Transactions on Medical Imaging,2021,True
10.1109/imcec51613.2021.9482216,False,True,True,"IEEE Advanced Information Management, Communicates, Electronic and Automation Control Conference",2021,False
10.1016/j.patcog.2022.109208,False,True,True,Pattern Recognition,2021,True
10.1109/icip42928.2021.9506229,False,True,True,International Conference on Image Processing,2021,False
10.48550/arxiv.2108.07979,False,True,False,arXiv (Cornell University),2021,True
10.1038/s41598-022-12378-z,False,True,True,Scientific Reports,2021,True
10.1109/tpami.2021.3113077,False,True,True,IEEE Transactions on Pattern Analysis and Machine Intelligence,2021,False
10.1007/978-3-030-93722-5_10,False,True,True,Lecture Notes in Computer Science,2022,True
10.1007/978-3-030-87722-4_2,False,True,False,Lecture Notes in Computer Science,2021,True
10.1007/978-3-030-93722-5_30,False,True,True,Lecture Notes in Computer Science,2022,True
10.1007/978-981-16-3637-0_5,False,True,True,"Smart innovation, systems and technologies",2021,False
10.1007/978-3-030-96878-6_1,False,True,True,Communications in computer and information science,2022,False
10.48550/arxiv.2111.00873,False,True,False,arXiv (Cornell University),2021,True
10.1016/j.mri.2021.10.005,False,True,True,Magnetic Resonance Imaging,2022,False
10.1007/978-3-030-91415-8_26,False,True,True,Springer eBooks,2021,False
10.1016/j.compbiomed.2022.106051,False,True,True,Computers in Biology and Medicine,2021,True
10.1007/s13534-021-00212-w,False,True,True,Biomedical Engineering Letters,2021,True
10.1016/j.compbiomed.2021.105041,False,True,True,Computers in Biology and Medicine,2022,False
10.1016/j.jcmg.2021.10.008,False,True,True,Jacc-cardiovascular Imaging,2021,False
10.1109/embc46164.2021.9630586,False,True,True,2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),2021,True
10.1007/978-3-030-93722-5_37,False,True,True,Lecture Notes in Computer Science,2022,False
10.1007/978-3-030-93722-5_40,False,True,True,Lecture Notes in Computer Science,2022,True
10.1007/978-3-030-93722-5_38,False,True,True,Lecture Notes in Computer Science,2022,False
10.1109/dasa53625.2021.9682288,False,True,True,2021 International Conference on Decision Aid Sciences and Application (DASA),2021,False
10.1109/tetci.2022.3146965,False,True,True,IEEE transactions on emerging topics in computational intelligence,2022,False
10.1109/tencon54134.2021.9707278,False,True,False,TENCON 2021 - 2021 IEEE Region 10 Conference (TENCON),2021,False
10.1016/j.cmpb.2022.106714,False,True,True,Computer Methods and Programs in Biomedicine,2022,True
10.1016/j.eswa.2022.116704,False,True,True,Expert Systems With Applications,2022,False
10.1007/s12181-022-00548-2,False,True,True,Der Kardiologe,2022,False
10.1117/12.2612269,False,True,True,Proceedings of SPIE,2022,True
10.3233/jifs-219305,False,True,True,Journal of Intelligent and Fuzzy Systems,2022,False
10.3389/fcvm.2022.831080,False,True,True,Frontiers in Cardiovascular Medicine,2022,True
10.1016/j.media.2022.102445,False,True,True,Medical Image Analysis,2022,True
10.1049/ipr2.12503,False,True,True,Iet Image Processing,2022,False
10.1155/2022/1274260,False,True,True,Computational Intelligence and Neuroscience,2022,True
10.1145/3520304.3533995,False,True,True,arXiv (Cornell University),2022,True
10.1007/978-3-030-92087-6_32,False,True,True,Contemporary medical imaging,2022,False
10.1080/21681163.2022.2055492,False,True,True,Computer methods in biomechanics and biomedical engineering. Imaging & visualization,2022,False
10.1155/2022/1368878,False,True,True,Journal of Interventional Cardiology,2022,True
10.1007/978-3-030-92087-6_33,False,True,True,Springer International Publishing eBooks,2022,False
10.1117/12.2634721,False,True,True,International Conference on Electronic Information Engineering and Computer Communication (EIECC 2021),2022,True
10.1007/978-3-031-16452-1_23,False,True,True,Lecture Notes in Computer Science,2022,True
10.33571/rpolitec.v18n35a6,False,True,True,Revista politecnica,2022,True
10.3390/tomography8030108,False,True,False,Tomography,2022,True
10.1177/01617346221099435,False,True,True,Ultrasonic Imaging,2022,False
10.1016/j.cmpb.2022.106889,False,True,True,Computer Methods and Programs in Biomedicine,2022,False
10.1007/s10334-022-01017-3,False,True,True,Magnetic Resonance Materials in Physics Biology and Medicine,2022,False
10.1007/s12204-022-2428-3,False,True,True,Journal of Shanghai Jiaotong University (science),2022,False
10.1016/j.media.2022.102682,False,True,True,Medical Image Analysis,2022,True
10.1007/978-3-031-16452-1_16,False,True,True,Lecture Notes in Computer Science,2022,True
10.1016/j.bspc.2022.103870,False,True,True,Biomedical Signal Processing and Control,2022,False
10.1016/b978-0-32-385773-4.00023-x,False,True,False,Elsevier eBooks,2023,False
10.1016/b978-0-32-385773-4.00025-3,False,True,True,Elsevier eBooks,2023,False
10.1016/b978-0-32-385773-4.00009-5,False,True,True,Elsevier eBooks,2023,True
10.1007/978-3-031-16452-1_60,False,True,True,Lecture Notes in Computer Science,2022,True
10.1109/icip46576.2022.9897494,False,True,False,arXiv (Cornell University),2022,True
10.1016/b978-0-323-90585-5.00003-5,False,True,True,Elsevier eBooks,2022,False
10.1007/978-3-031-06427-2_37,False,True,True,Lecture Notes in Computer Science,2022,True
10.1109/ist55454.2022.9827772,False,True,True,2022 IEEE International Conference on Imaging Systems and Techniques (IST),2022,False
10.1016/j.media.2022.102533,False,True,True,Medical Image Analysis,2022,True
10.1007/978-3-031-13321-3_30,False,True,True,Lecture Notes in Computer Science,2022,False
10.1016/j.media.2022.102564,False,True,True,Medical Image Analysis,2022,True
10.1007/978-3-031-16431-6_56,False,True,True,Lecture Notes in Computer Science,2022,True
10.23919/annsim55834.2022.9859361,False,True,True,2022 Annual Modeling and Simulation Conference (ANNSIM),2022,True
10.1016/j.compbiomed.2022.106034,False,True,True,Computers in Biology and Medicine,2022,False
10.1109/indiscon54605.2022.9862847,False,True,True,2022 IEEE India Council International Subsections Conference (INDISCON),2022,False
10.1007/s00117-022-01060-0,False,True,True,Die Radiologie,2022,False
10.1109/icme52920.2022.9859985,False,True,True,2022 IEEE International Conference on Multimedia and Expo (ICME),2022,False
10.1109/icme52920.2022.9859940,False,True,True,2022 IEEE International Conference on Multimedia and Expo (ICME),2022,False
10.1109/cbms55023.2022.00031,False,True,True,2022 IEEE 35th International Symposium on Computer-Based Medical Systems (CBMS),2022,False
10.3390/biomedicines10092157,False,True,True,Biomedicines,2022,True
10.3390/electronics11172749,False,True,True,Electronics,2022,True
10.1016/j.cmpb.2022.107099,False,True,True,Computer Methods and Programs in Biomedicine,2022,False
10.1088/1742-6596/2327/1/012073,False,True,True,Journal of physics,2022,True
10.1109/embc48229.2022.9871109,False,True,True,2022 44th Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),2022,False
10.1109/embc48229.2022.9871950,False,True,True,2022 44th Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),2022,False
10.1109/embc48229.2022.9871780,False,True,True,2022 44th Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),2022,False
10.1109/embc48229.2022.9871368,False,True,True,2022 44th Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),2022,False
10.1007/978-3-031-16876-5_5,False,True,True,Lecture Notes in Computer Science,2022,True
10.1007/978-3-031-16443-9_51,False,True,True,Lecture Notes in Computer Science,2022,True
10.1007/978-3-031-16443-9_47,False,True,True,Lecture Notes in Computer Science,2022,True
10.1007/978-3-031-16452-1_14,False,True,True,Lecture Notes in Computer Science,2022,False
10.1007/978-3-031-16452-1_22,False,True,True,Lecture Notes in Computer Science,2022,True
10.1007/978-3-031-16452-1_51,False,True,True,Lecture Notes in Computer Science,2022,True
10.1007/978-3-031-16749-2_6,False,True,True,Lecture Notes in Computer Science,2022,True
10.1007/978-3-031-16446-0_73,False,True,True,Lecture Notes in Computer Science,2022,True
10.3390/pharmaceutics14091964,False,True,True,Pharmaceutics,2022,True
10.1109/icivc55077.2022.9886218,False,True,True,"2022 7th International Conference on Image, Vision and Computing (ICIVC)",2022,False
10.1007/978-3-031-16980-9_14,False,True,True,Lecture Notes in Computer Science,2022,False
10.1007/978-3-031-16980-9_4,False,True,True,Lecture Notes in Computer Science,2022,True
10.1007/978-3-031-17027-0_5,False,True,True,Lecture Notes in Computer Science,2022,False
10.1631/fitee.2200102,False,True,True,Frontiers of Informaion Technology & Electronic Engineering,2022,False
10.1007/s10489-022-04118-7,False,True,True,Applied Intelligence,2022,False
10.3389/fcvm.2022.1009131,False,True,True,Frontiers in Cardiovascular Medicine,2022,True
10.1007/s12021-022-09607-1,False,True,True,Neuroinformatics,2022,True
10.1002/9781119792673.ch6,False,True,False,Bioinformatics and Medical Applications,2022,False
10.3390/life12101570,False,True,True,Life,2022,True
10.1002/ima.22818,False,True,True,International Journal of Imaging Systems and Technology,2022,True
10.1080/21681163.2022.2125697,False,True,True,Computer methods in biomechanics and biomedical engineering. Imaging & visualization,2022,False
10.1016/j.knosys.2022.110033,False,True,True,Knowledge Based Systems,2022,False
10.1155/2022/5311825,False,True,True,Journal of Healthcare Engineering,2022,True
10.47164/ijngc.v13i3.825,False,True,True,International journal of next-generation computing,2022,True
10.1109/globconpt57482.2022.9938245,False,True,True,"2022 IEEE Global Conference on Computing, Power and Communication Technologies (GlobConPT)",2022,False
10.1007/s11760-022-02388-9,False,True,True,"Signal, Image and Video Processing",2022,False
10.1002/9781119808404.ch11,False,True,True,Advances in Time‐Domain Computational Electromagnetic Methods,2022,False
10.1002/mp.16108,False,True,False,Medical Physics,2022,False
10.1016/j.media.2022.102688,False,True,True,Medical Image Analysis,2022,True
10.3389/fninf.2022.933230,False,True,True,Frontiers in Neuroinformatics,2022,True
10.1186/s12968-022-00899-5,False,True,True,Journal of Cardiovascular Magnetic Resonance,2022,True
10.7717/peerj-cs.1146,False,True,True,PeerJ,2022,True
10.1016/j.compmedimag.2022.102158,False,True,False,Computerized Medical Imaging and Graphics,2022,True
10.3389/fcvm.2022.1009445,False,True,False,Frontiers in Cardiovascular Medicine,2022,True
10.1007/978-3-031-23443-9_39,False,True,False,Lecture Notes in Computer Science,2022,True
10.21203/rs.3.rs-2368607/v1,False,True,False,Research Square (Research Square),2022,True
10.1007/s11042-022-14202-2,False,True,False,Multimedia Tools and Applications,2022,False
10.1016/j.artmed.2022.102476,False,True,False,Artificial Intelligence in Medicine,2022,True
10.1016/j.xcrm.2022.100869,False,True,False,Cell reports medicine,2022,True
10.1002/mp.16182,False,True,False,Medical Physics,2022,False
10.1016/j.compbiomed.2022.106439,False,True,False,Computers in Biology and Medicine,2023,False
10.1007/978-981-19-6649-1_7,False,True,False,Lecture notes in bioengineering,2022,False
10.1063/5.0111849,False,True,False,Nucleation and Atmospheric Aerosols,2022,False
10.1007/978-3-031-21014-3_15,False,True,False,Lecture Notes in Computer Science,2022,False
10.3934/mbe.2023149,False,True,False,Mathematical Biosciences and Engineering,2022,True
10.1007/978-3-031-21014-3_34,False,True,False,Lecture Notes in Computer Science,2022,False
10.23919/eusipco55093.2022.9909770,False,True,False,2022 30th European Signal Processing Conference (EUSIPCO),2022,False
10.1063/5.0101144,False,True,True,Nucleation and Atmospheric Aerosols,2022,False
10.1109/icpr56361.2022.9956530,False,True,True,2022 26th International Conference on Pattern Recognition (ICPR),2022,False
10.1007/978-3-031-19821-2_20,False,True,True,Lecture Notes in Computer Science,2022,True
10.1007/s11517-022-02723-9,False,True,False,Medical & Biological Engineering & Computing,2022,False
10.1109/gtsd54989.2022.9989083,False,True,False,2022 6th International Conference on Green Technology and Sustainable Development (GTSD),2022,False
10.1371/journal.pdig.0000159,False,True,False,PLOS digital health,2023,True
10.1109/bibm55620.2022.9995501,False,True,False,2022 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),2022,False
10.1109/bibm55620.2022.9995653,False,True,False,2022 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),2022,False
10.1109/access.2023.3234241,False,True,False,IEEE Access,2023,True
10.1016/j.compmedimag.2022.102174,False,True,False,Computerized Medical Imaging and Graphics,2023,False
10.1088/1361-6560/acb19a,False,True,False,Physics in Medicine and Biology,2023,True
10.1109/icnsc55942.2022.10004077,False,True,False,"2022 IEEE International Conference on Networking, Sensing and Control (ICNSC)",2022,False
10.1016/j.patcog.2023.109318,False,True,False,Pattern Recognition,2023,True
10.1109/rivf55975.2022.10013852,False,True,False,2022 RIVF International Conference on Computing and Communication Technologies (RIVF),2022,False
10.1109/access.2023.3238058,False,True,False,IEEE Access,2023,True
10.1038/s41598-023-28348-y,False,True,False,Scientific Reports,2023,True
10.1007/978-3-031-15542-0_15,False,True,False,Springer eBooks,2022,False
10.3389/fphys.2023.1027076,False,True,False,Frontiers in Physiology,2023,True
10.1007/978-3-031-23443-9_9,False,True,False,Lecture Notes in Computer Science,2022,False
10.1007/978-3-031-23443-9_7,False,True,False,Lecture Notes in Computer Science,2022,False
10.1007/978-3-031-23443-9_35,False,True,False,Lecture Notes in Computer Science,2022,False
10.1007/978-3-031-23443-9_47,False,True,False,Lecture Notes in Computer Science,2022,False
10.1007/978-3-031-23443-9_38,False,True,False,Lecture Notes in Computer Science,2022,False
10.1007/978-3-031-23443-9_46,False,True,False,Lecture Notes in Computer Science,2022,False
10.1007/978-3-031-23443-9_37,False,True,False,Lecture Notes in Computer Science,2022,False
10.1016/b978-0-12-821983-6.00008-4,False,True,False,Elsevier eBooks,2023,False
10.3390/bioengineering10020166,False,True,False,Bioengineering,2023,True
10.1016/j.media.2023.102762,False,True,False,Medical Image Analysis,2023,True
10.1016/j.bspc.2023.104631,False,True,False,Biomedical Signal Processing and Control,2023,False
10.1109/wacv56688.2023.00365,False,True,False,2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),2023,True
10.1016/j.cmpb.2023.107398,False,True,False,Computer Methods and Programs in Biomedicine,2023,True
10.3390/bioengineering10020225,False,True,False,Bioengineering,2023,True
10.1016/j.knosys.2023.110378,False,True,False,Knowledge Based Systems,2023,False
10.1016/b978-0-323-89831-7.00003-1,False,True,False,Elsevier eBooks,2023,False
10.1007/978-981-19-6634-7_42,False,True,False,Lecture notes in networks and systems,2023,False
10.1007/978-3-031-25082-8_31,False,True,False,Lecture Notes in Computer Science,2023,False
10.1007/978-3-031-25082-8_28,False,True,False,Lecture Notes in Computer Science,2023,False
10.1109/ice3is56585.2022.10010273,False,True,False,2022 2nd International Conference on Electronic and Electrical Engineering and Intelligent System (ICE3IS),2022,False
10.1007/978-3-031-23443-9_3,False,True,False,Lecture Notes in Computer Science,2022,False
10.3390/life13020507,False,True,False,Life,2023,True
10.3390/s23042112,False,True,False,Sensors,2023,True
10.1016/j.media.2023.102773,False,True,False,Medical Image Analysis,2023,False
10.1016/j.asoc.2023.110128,False,True,False,Applied Soft Computing,2023,False
10.1016/j.compmedimag.2023.102203,False,True,False,Computerized Medical Imaging and Graphics,2023,False
10.1007/978-3-030-98661-2_109,False,True,True,Springer International Publishing eBooks,2023,False
10.35940/ijrte.f7480.0311623,False,True,False,International journal of recent technology and engineering,2023,True
10.1007/978-3-031-26351-4_12,False,True,False,Lecture Notes in Computer Science,2023,False
10.1007/978-3-030-87196-3_28,False,True,True,Lecture Notes in Computer Science,2021,True
10.3389/fphys.2021.709230,False,True,True,Frontiers in Physiology,2021,True
10.1007/s10237-021-01454-4,False,True,True,Biomechanics and Modeling in Mechanobiology,2021,False
10.3389/fphys.2021.653013,False,True,True,Frontiers in Physiology,2021,True
10.1109/tmi.2021.3113678,False,True,True,IEEE Transactions on Medical Imaging,2022,True
10.3389/fphys.2021.674106,False,True,True,Frontiers in Physiology,2021,True
10.1109/embc46164.2021.9629941,False,True,True,arXiv (Cornell University),2021,True
10.1016/j.media.2021.102303,False,True,True,Medical Image Analysis,2022,True
10.1016/j.neucom.2022.04.065,False,True,True,Neurocomputing,2022,True
10.1007/978-3-030-87196-3_33,False,True,True,Lecture Notes in Computer Science,2021,False
10.1016/j.cmpb.2022.106821,False,True,True,Computer Methods and Programs in Biomedicine,2022,False
10.1002/jmri.27732,False,True,True,Journal of Magnetic Resonance Imaging,2022,True
10.1142/s0129065722500162,False,True,False,International Journal of Neural Systems,2022,False
10.1016/j.media.2022.102360,False,True,True,Medical Image Analysis,2022,True
10.22489/cinc.2020.306,False,True,False,Computing in Cardiology Conference,2020,True
10.48550/arxiv.2103.02911,False,True,False,arXiv (Cornell University),2021,True
10.48550/arxiv.2106.08727,False,True,False,arXiv (Cornell University),2021,True
10.48550/arxiv.2106.09862,False,True,False,arXiv (Cornell University),2021,True
10.3390/ijms22147681,False,True,True,International Journal of Molecular Sciences,2021,True
10.3389/fphys.2021.733139,False,True,True,Frontiers in Physiology,2021,True
10.1007/978-3-030-87231-1_54,False,True,True,Lecture Notes in Computer Science,2021,True
10.3390/e23010064,False,True,True,Entropy,2021,True
10.48550/arxiv.2103.04020,False,True,False,arXiv (Cornell University),2021,True
10.1016/j.jksuci.2021.12.005,False,True,True,Journal of King Saud University - Computer and Information Sciences,2021,True
10.23919/cinc53138.2021.9662790,False,True,True,"Computing in Cardiology (CinC), 2012",2021,True
10.1002/mp.15670,False,True,True,Medical Physics,2022,False
10.3389/fphys.2022.880260,False,True,True,Frontiers in Physiology,2022,True
10.1016/j.compmedimag.2022.102092,False,True,False,Computerized Medical Imaging and Graphics,2022,False
10.1016/j.bspc.2022.104203,False,True,True,Biomedical Signal Processing and Control,2023,False
10.3390/jcdd9100319,False,True,True,Journal of Cardiovascular Development and Disease,2022,True
10.1016/j.eswa.2022.119105,False,True,True,Expert Systems With Applications,2022,False
10.48550/arxiv.2105.00234,False,True,False,arXiv (Cornell University),2021,True
10.48550/arxiv.2106.15707,False,True,False,arXiv (Cornell University),2021,True
10.3390/app12083764,False,True,True,Applied sciences,2022,True
10.1145/3498851.3499006,False,True,True,IEEE/WIC/ACM International Conference on Web Intelligence,2021,True
10.1145/3512576.3512587,False,True,True,2021 The 9th International Conference on Information Technology: IoT and Smart City,2021,False
10.1002/mp.15923,False,True,True,Medical Physics,2022,False
10.1109/icme52920.2022.9859611,False,True,True,2022 IEEE International Conference on Multimedia and Expo (ICME),2022,False
10.1155/2022/8630449,False,True,True,Computational and Mathematical Methods in Medicine,2022,True
10.1109/embc48229.2022.9871783,False,True,True,2022 44th Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),2022,False
10.1007/978-3-031-16431-6_49,False,True,True,Lecture Notes in Computer Science,2022,False
10.1007/978-3-031-16452-1_46,False,True,True,Lecture Notes in Computer Science,2022,False
10.1016/j.compmedimag.2022.102152,False,True,True,Computerized Medical Imaging and Graphics,2022,True
10.1016/j.compbiomed.2022.106422,False,True,False,Computers in Biology and Medicine,2022,True
10.1016/j.compbiomed.2022.106427,False,True,False,Computers in Biology and Medicine,2022,False
10.1007/978-3-031-18814-5_8,False,True,True,Lecture Notes in Computer Science,2022,False
10.1109/cvpr52688.2022.00028,False,True,True,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2022,True
10.1109/bibm55620.2022.9995371,False,True,False,2022 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),2022,False
10.3390/s23020690,False,True,False,Sensors,2023,True
10.1007/978-3-031-23443-9_29,False,True,False,Lecture Notes in Computer Science,2022,False
10.3390/jcdd10020056,False,True,False,Journal of Cardiovascular Development and Disease,2023,True
10.1109/3dv.2016.79,False,True,True,International Conference on 3D Vision,2016,True
10.1016/j.patcog.2018.05.014,False,True,True,Pattern Recognition,2018,False
10.1109/access.2019.2908991,False,True,True,IEEE Access,2019,True
10.1109/tmi.2019.2930068,False,True,True,IEEE Transactions on Medical Imaging,2020,True
10.1038/s41585-019-0193-3,False,True,True,Nature Reviews Urology,2019,False
10.1016/j.compbiomed.2015.02.009,False,True,True,Computers in Biology and Medicine,2015,True
10.1109/tmi.2016.2578680,False,True,True,IEEE Transactions on Medical Imaging,2016,False
10.1109/tmi.2020.2974574,False,True,True,IEEE Transactions on Medical Imaging,2020,True
10.1016/j.neucom.2020.05.070,False,True,True,Neurocomputing,2020,False
10.1109/tmi.2019.2913184,False,True,True,IEEE Transactions on Medical Imaging,2019,True
10.1007/s13246-019-00730-z,False,True,True,Australasian Physical & Engineering Sciences in Medicine,2019,False
10.1016/j.neucom.2017.09.084,False,True,True,Neurocomputing,2018,False
10.1016/j.neucom.2019.01.110,False,True,True,Neurocomputing,2020,False
10.1007/s11548-018-1785-8,False,True,True,International Journal of Computer Assisted Radiology and Surgery,2018,False
10.1109/tmi.2019.2928056,False,True,True,IEEE Transactions on Medical Imaging,2020,False
10.1109/cvpr46437.2021.00107,False,True,True,Computer Vision and Pattern Recognition,2021,True
10.1016/j.ijrobp.2019.03.017,False,True,True,International Journal of Radiation Oncology Biology Physics,2019,False
10.3390/info8020049,False,True,True,Information,2017,True
10.1016/j.media.2015.11.003,False,True,True,Medical Image Analysis,2016,False
10.1007/978-3-030-00928-1_87,False,True,True,Springer International Publishing eBooks,2018,True
10.1016/j.diii.2019.05.008,False,True,True,Diagnostic and interventional imaging,2020,True
10.1016/j.media.2016.06.038,False,True,True,Medical Image Analysis,2017,False
10.1007/978-3-030-00937-3_58,False,True,True,Springer International Publishing eBooks,2018,True
10.1016/j.pscychresns.2014.11.011,False,True,True,Psychiatry Research: Neuroimaging,2015,False
10.1088/0031-9155/61/13/4796,False,True,True,Physics in Medicine and Biology,2016,True
10.1002/mp.14134,False,True,True,Medical Physics,2020,True
10.1016/j.compbiomed.2016.12.010,False,True,True,Computers in Biology and Medicine,2017,False
10.1007/s00261-018-1660-7,False,True,True,Abdominal Imaging,2019,False
10.1002/mp.13550,False,True,True,Medical Physics,2019,False
10.1088/0031-9155/59/23/7245,False,True,True,Physics in Medicine and Biology,2014,False
10.1016/j.cmpb.2018.12.031,False,True,True,Computer Methods and Programs in Biomedicine,2019,True
10.1016/j.ejrad.2019.108716,False,True,True,European Journal of Radiology,2019,True
10.1118/1.4914379,False,True,True,Medical Physics,2015,False
10.1049/ipr2.12419,False,True,True,Iet Image Processing,2022,True
10.2214/ajr.19.22168,False,True,True,American Journal of Roentgenology,2021,False
10.1016/j.bbe.2018.06.009,False,True,True,Biocybernetics and Biomedical Engineering,2018,False
10.1016/j.ultrasmedbio.2014.09.019,False,True,True,Ultrasound in Medicine and Biology,2015,False
10.1016/j.euf.2019.04.009,False,True,True,European urology focus,2021,False
10.1109/access.2019.2903284,False,True,True,IEEE Access,2019,True
10.1109/isbi.2019.8759554,False,True,True,International Symposium on Biomedical Imaging,2019,True
10.1016/j.bbe.2020.07.011,False,True,True,Biocybernetics and Biomedical Engineering,2020,False
10.1007/978-3-030-59710-8_38,False,True,True,Lecture Notes in Computer Science,2020,True
10.1002/mp.12748,False,True,True,Medical Physics,2018,True
10.1007/s11042-020-09810-9,False,True,True,Multimedia Tools and Applications,2021,False
10.1080/21681163.2014.960535,False,True,True,Computer methods in biomechanics and biomedical engineering. Imaging & visualization,2017,False
10.1109/access.2017.2781278,False,True,True,IEEE Access,2018,True
10.1007/978-981-13-8950-4_25,False,True,True,"Smart Innovation, Systems and Technologies",2020,True
10.1109/isbi.2019.8759572,False,True,True,International Symposium on Biomedical Imaging,2019,False
10.1007/978-3-030-26763-6_46,False,True,True,Lecture Notes in Computer Science,2019,False
10.1002/asmb.2642,False,True,True,Applied Stochastic Models in Business and Industry,2021,False
10.1016/j.neucom.2016.12.071,False,True,True,Neurocomputing,2017,False
10.1007/978-3-030-00919-9_42,False,True,True,Lecture Notes in Computer Science,2018,True
10.1007/978-3-319-24888-2_2,False,True,True,Lecture Notes in Computer Science,2015,False
10.1007/s11548-018-1742-6,False,True,True,International Journal of Computer Assisted Radiology and Surgery,2018,False
10.1016/j.media.2018.11.007,False,True,True,Medical Image Analysis,2019,True
10.1016/j.cmpb.2020.105821,False,True,True,Computer Methods and Programs in Biomedicine,2021,True
10.1118/1.4917481,False,True,True,Medical Physics,2015,True
10.1016/j.neuroimage.2015.05.099,False,True,True,NeuroImage,2015,False
10.1109/isbi.2017.7950630,False,True,True,International Symposium on Biomedical Imaging,2017,True
10.1016/j.infrared.2014.07.002,False,True,True,Infrared Physics & Technology,2014,False
10.1007/978-3-030-00937-3_59,False,True,True,Springer International Publishing eBooks,2018,False
10.1055/a-1290-8070,False,True,True,RöFo,2021,True
10.1007/s10462-021-10061-9,False,True,True,Artificial Intelligence Review,2021,True
10.1109/embc.2016.7590782,False,True,True,International Conference of the IEEE Engineering in Medicine and Biology Society,2016,True
10.1109/isbi.2018.8363549,False,True,True,International Symposium on Biomedical Imaging,2018,False
10.1007/978-3-030-52791-4_22,False,True,True,Communications in computer and information science,2020,False
10.1016/j.media.2021.101984,False,True,True,Medical Image Analysis,2021,False
10.1118/1.4899182,False,True,True,Medical Physics,2014,False
10.1109/tvcg.2015.2501813,False,True,True,IEEE Transactions on Visualization and Computer Graphics,2016,False
10.1088/0031-9155/61/22/8070,False,True,True,Physics in Medicine and Biology,2016,True
10.1117/12.2254621,False,True,True,Proceedings of SPIE,2017,True
