title,doi,abstract,task
Surface Reflectance: A Metric for Untextured Surgical Scene Segmentation,https://doi.org/10.1007/978-981-19-7528-8_17,"abstractsegmentation is a process to understand scene context captured by a camera and it is commonly used to solve many robotic problems such as localization and tracking the utility of semantic segmentation in robotassisted minimally invasive surgery mis is increasing as it can provide situational awareness in this work we present a new approach for image segmentation for knee arthroscopy by capturing the evolution of tissuedependent spectral reflectance within the cavity our approach relies on using spectral sensitivity of the image sensor that provides a cue to estimate surface reflectance from color tristimulus values we demonstrate that light reflectance conveys pivotal information about the tissue surfaces that could be used to segment surgical frames which are difficult to visualize as limited scene context and lack of texture and features the methodology conducted in cadaveric experiments confirms the robustness of reconstructed spectral reflectance in binary segmentations of surgical sites to the best of our knowledge this is the first use of surface reflectance as a segmentation tool for identifying tissue types in endoscopic imageskeywordsspectral reflectancesensor spectral sensitivitysegmentationdecision tree classifiersupport vector machineknee arthroscopymisroboticassisted surgery",Other
A review of natural scene text detection methods,https://doi.org/10.1016/j.procs.2022.01.185,"natural scene text detection has an important role to play in getting textual information from natural scenes with the continuous development of deep learning natural scene text detection methods are emerging and achieving better results on detection tasks in this paper analysis and summary of the current stage of deep learningbased text algorithms for natural scenes can be divided into two types region of the proposal and semantic segmentation and the content of these two series of related algorithms is described secondly a publicly available dataset and detection performance metrics for scene text detection are presented ultimately the research in scene text detection is summarized and looked forward to in the hope of providing new research directions for subsequent algorithms",Other
Exploring Intra- and Inter-Video Relation for Surgical Semantic Scene Segmentation,https://doi.org/10.1109/TMI.2022.3177077,"automatic surgical scene segmentation is fundamental for facilitating cognitive intelligence in the modern operating theatre previous works rely on conventional aggregation modules eg dilated convolution convolutional lstm which only make use of the local context in this paper we propose a novel framework stswincl that explores the complementary intra and intervideo relations to boost segmentation performance by progressively capturing the global context we firstly develop a hierarchy transformer to capture intravideo relation that includes richer spatial and temporal cues from neighbor pixels and previous frames a joint spacetime window shift scheme is proposed to efficiently aggregate these two cues into each pixel embedding then we explore intervideo relation via pixeltopixel contrastive learning which well structures the global embedding space a multisource contrast training objective is developed to group the pixel embeddings across videos with the groundtruth guidance which is crucial for learning the global property of the whole data we extensively validate our approach on two public surgical video benchmarks including endovis18 challenge and cadis dataset experimental results demonstrate the promising performance of our method which consistently exceeds previous stateoftheart approaches code is available at uri xmlnsmmlhttpwwww3org1998mathmathml xmlnsxlinkhttpwwww3org1999xlinkhttpsgithubcomyuemingjinstswincluri",Other
UAVformer: A Composite Transformer Network for Urban Scene Segmentation of UAV Images,https://doi.org/10.1016/j.patcog.2022.109019 	,"a novel transformerbased semantic segmentation network with a composite structure backbone is proposed for urban scene segmentation of uav images adaptive fusion modules afm are implemented to adaptively fuse the multilevel extracted features an aggregation window multihead selfattention awmsa mechanism is designed in the transformer block for accurately segmented scale variation objects in uav images a vshaped decoder with the capacity to fully utilise multilevel features is proposed to ideally preserve segmented object boundaries urban scenes segmentation based on uav unmanned aerial vehicle view is a fundamental task for the applications of smart city such as city planning land use monitoring traffic monitoring and crowd estimation while urban scenes in uav image characteristic by large scale variation of objects size and complexity background which posed challenges to urban scenes segmentation of uav image the feature extracting backbone of existing networks cannot extract complex features of uav image effectively which limits the performance of urban scenes segmentation to design segmentation network capable of extracting features of large scale variation urban ground scenes this study proposed a novel composite transformer network for urban scenes segmentation of uav image a composite backbone with aggregation windows multihead selfattention transformer blocks is proposed to make the extracted features more representatives by adaptive multilevel features fusion and the full utilisation of contextual information and local information position attention modules are inserted in each stage between encoder and decoder to further enhance the spatial attention of extracted feature maps finally a vshaped decoder which is capable of utilising multilevel features is designed to get accurately dense prediction the accuracy of urban scenes segmentation could significantly be enhanced in this way and successfully segmented the large scale variation objects from uav views extensive ablation experiments and comparative experiments for the proposed network have been conducted on the public available urban scenes segmentation datasets for uav imagery experimental results have demonstrated the effectiveness of designed network structure and the superiority of proposed network over stateoftheart methods specifically reached 532 miou on the uavid dataset and 776 miou on the udd6 dataset respectively",Other
RescueNet: A High Resolution UAV Semantic Segmentation Benchmark Dataset  for Natural Disaster Damage Assessment,https://doi.org/10.48550/arXiv.2202.12361,"due to climate change we can observe a recent surge of natural disasters all around the world these disasters are causing disastrous impact on both nature and human lives economic losses are getting greater due to the hurricanes quick and prompt response of the rescue teams are crucial in saving human lives and reducing economic cost deep learning based computer vision techniques can help in scene understanding and help rescue teams with precise damage assessment semantic segmentation an active research area in computer vision can put labels to each pixel of an image and therefore can be a valuable arsenal in the effort of reducing the impacts of hurricanes unfortunately available datasets for natural disaster damage assessment lack detailed annotation of the affected areas and therefore do not support the deep learning models in total damage assessment to this end we introduce the rescuenet a high resolution post disaster dataset for semantic segmentation to assess damages after natural disasters the rescuenet consists of post disaster images collected after hurricane michael the data is collected using unmanned aerial vehicles uavs from several areas impacted by the hurricane the uniqueness of the rescuenet comes from the fact that this dataset provides high resolution postdisaster images and comprehensive annotation of each image while most of the existing dataset offer annotation of only part of the scene like building road or river rescuenet provides pixel level annotation of all the classes including building road pool tree debris and so on we further analyze the usefulness of the dataset by implementing stateoftheart segmentation models on the rescuenet the experiments demonstrate that our dataset can be valuable in further improvement of the existing methodologies for natural disaster damage assessment",Other
Cursive Text Recognition in Natural Scene Images Using Deep Convolutional Recurrent Neural Network,https://doi.org/10.1109/ACCESS.2022.3144844,"text recognition in natural scene images is a challenging problem in computer vision different than the optical character recognition ocr text recognition in natural scene images is more complex due to variations in text size colors fonts orientations complex backgrounds occlusion illuminations and uneven lighting conditions in this paper we propose a segmentationfree method based on a deep convolutional recurrent neural network to solve the problem of cursive text recognition particularly focusing on urdu text in natural scenes compared to the noncursive scripts urdu text recognition is more complex due to variations in the writing styles several shapes of the same character connected text ligature overlapping stretched diagonal and condensed text the proposed model gets a whole word image as an input without presegmenting into individual characters and then transforms into the sequence of the relevant features our model is based on three components a deep convolutional neural network cnn with shortcut connections to extract and encode the features a recurrent neural network rnn to decode the convolutional features and a connectionist temporal classification ctc to map the predicted sequences into the target labels to increase the text recognition accuracy further we explore deeper cnn architectures like vgg16 vgg19 resnet18 and resnet34 to extract more appropriate urdu text features and compare the recognition results to conduct the experiments a new largescale benchmark dataset of cropped urdu word images in natural scenes is developed the experimental results show that the proposed deep crnn network with shortcut connections outperform than other network architectures the dataset is publicly available and can be downloaded from uri xmlnsmmlhttpwwww3org1998mathmathml xmlnsxlinkhttpwwww3org1999xlinkhttpsdatamendeleycomdatasetsk5fz57zd9z1uri",Other
Transformer-based Flood Scene Segmentation for Developing Countries,https://doi.org/10.48550/arXiv.2210.04218,"floods are largescale natural disasters that often induce a massive number of deaths extensive material damage and economic turmoil the effects are more extensive and longerlasting in highpopulation and lowresource developing countries early warning systems ews constantly assess water levels and other factors to forecast floods to help minimize damage postdisaster disaster response teams undertake a post disaster needs assessment pdsa to assess structural damage and determine optimal strategies to respond to highly affected neighbourhoods however even today in developing countries ews and pdsa analysis of large volumes of image and video data is largely a manual process undertaken by first responders and volunteers we propose floodtransformer which to the best of our knowledge is the first visual transformerbased model to detect and segment flooded areas from aerial images at disaster sites we also propose a custom metric flood capacity fc to measure the spatial extent of water coverage and quantify the segmented flooded area for ews and pdsa analyses we use the swoc flood segmentation dataset and achieve 093 miou outperforming all other methods we further show the robustness of this approach by validating across unseen flood images from other flood data sources",Other
CARL-D: A vision benchmark suite and large scale dataset for vehicle detection and scene segmentation,https://doi.org/10.1016/j.image.2022.116667,"visionbased object detection and scene understanding are becoming key features of environment perception and autonomous driving in the past couple of years numerous largescale datasets for visual object detection and semantic understanding have been released which has enormously benefited the environment perception in selfdriving cars however these datasets like kitti and cityscapes only focus on well organized and urban road traffic scenarios of european countries while ignoring the dense and unpattern traffic conditions of subcontinent countries like pakistan india bangladesh and sri lanka consequently the environment perception system developed on these datasets cannot efficiently assist selfdriving cars in traffic scenarios of subcontinent countries to this end we present carld a largescale dataset and benchmark suite for develop 2d object detection and instancepixellevel segmentation methods for selfdriving cars carld comprises largescale stereo visionbased driving videos captured from more than 100 cities of pakistan including motorways dense and unpattern traffic scenarios of urban rural and hilly areas as a benchmark selection 15000 suitable images are labeled for 2d object detection and recognition whereas semantic segmentation benchmark contains 2500 images with pixellevel highquality fine annotations and 5000 coarseannotated images which could help in enabling the deep neural networks to leverage the weakly labeled data alongside the dataset we also present transfer learningbased 2d vehicle detection and scene segmentation methods to evaluate the performance of existing stateoftheart deep neural networks on our dataset lastly an extensive experimental evaluation along with the comparative study has been carried out which demonstrates the upper edge of our dataset in terms of interclassdiversity scenevariability and annotations richness the proposed benchmark suite is available at httpscarldatasetgithubioindex a largescale dataset for 2d vehicle detection and scene understanding in selfdriving cars in unpattern rural urban and hilly road traffic scenarios scene segmentation benchmark 7500 pixellevel annotated images including 44 classes grouped into nature infrastructure moving and static objects signboards and misc vehicle detection recognition benchmark 15000 annotated images covering 25 classes with 50348 labels a comparative analysis of existing vehicle detection and scene segmentation dataset with our proposed benchmarks",Other
Embedded Control Gate Fusion and Attention Residual Learning for RGB–Thermal Urban Scene Parsing,https://doi.org/10.1109/TITS.2023.3242651,"the semantic segmentation of road scenes is an important task in autonomous driving deep learning has enabled the development of a variety of semantic segmentation networks using rgb and depth data however poor lighting conditions and longdistance sensing limit the applicability of rgb and depth cameras nevertheless many existing methods still rely on precise depth maps for scene segmentation unlike depth information thermal imaging provides a visual heat representation that remains accurate under a variety of lighting conditions and over longer distances for robust and accurate segmentation of scenes collected during autonomous driving we used the advanced mobilenetv2 network for feature extraction and a fusion strategy with an embedded control gate in addition we adopted an encoderdecoder scheme for semantic segmentation and developed an attention residual learning strategy to restore the resolution of the feature map finally semantic and boundary supervision is introduced to optimize parameters of the proposed network experimental results show that the proposed network outperforms existing networks on segmentation of urban scenes and our network can be generalized to depth data",Other
Semantic Segmentation of Coastal Zone on Airborne Lidar Bathymetry Point Clouds,https://doi.org/10.1109/LGRS.2022.3161191,"largescale semantic segmentation point cloud is an ongoing research topic for onland environments however there is a rare deep learning research study for the subsurface environment although pointnet and its successor pointnet have become the cornerstone of point cloud segmentation however these techniques handle a relatively small number of points this poses a natural difficulty in a large spatial scene with millions of possible points in particular for shallow water of coastal zone the small number of points where the seabed and water surface meet close points may belong to different classes in our work we present the semantic segmentation on a largescale airborne lidar bathymetry alb point cloud containing millions of sample points into two classes of water surface and seabed with the voxel sampling preprocessing vsp approach the proposed approach will allow us to capture the complicated outdoor natural scene components of water surface and seabed more accurately and more realistic through nonuniform voxelization in the mixture of dense and sparse points of the alb point cloud the performance of validation results show improvement in a perpoint accuracy of 7245 compared with other stateoftheart deep learningbased methods",Other
Crack detection algorithm for concrete structures based on super-resolution reconstruction and segmentation network,https://doi.org/10.1016/j.autcon.2022.104346,"crack images collected from civil infrastructures through unmanned aerial vehicles suffer from motion blur and insufficient resolution which reduces the accuracy of microcrack detection therefore an automatic microcrack detection method based on superresolution reconstruction srr and semantic segmentation is proposed superresolution sr images reconstructed by the proposed deep learningbased srr model were input into the proposed semantic segmentation network for crack segmentation and the length and width of cracks were measured through an improved medial axis transform approach the accuracy of crack segmentation and feature quantification for sr images obtained using the deep learningbased srr is significantly improved compared with lowresolution fuzzy images the effects of three parameters on the results were analyzed compared with the bicubic testset the intersectionoverunion of the sr testset is improved by 17 when a magnification factor of 4 is adopted the results show that the proposed method achieves good performance in detecting concrete cracks a crack detection method based on deep learning srr and segmentation is proposed srfbn with the least number of parameters achieves the best results on crack srr the f1score and iou obtained from the sr testset are improved by 13 and 17 the training set combining natural scene images with crack images performs best the effects of training sets and magnification factors on crack srr are discussed",Other
Visual segmentation of complex naturalistic structures in an infant eye-tracking search task,https://doi.org/10.1371/journal.pone.0266158,"an infants everyday visual environment is composed of a complex array of entities some of which are well integrated into their surroundings although infants are already sensitive to some categories in their first year of life it is not clear which visual information supports their detection of meaningful elements within naturalistic scenes here we investigated the impact of image characteristics on 8montholds search performance using a gaze contingent eyetracking search task infants had to detect a target patch on a background image the stimuli consisted of images taken from three categories vegetation nonliving natural elements eg stones and manmade artifacts for which we also assessed target background differences in lower and higherlevel visual properties our results showed that larger targetbackground differences in the statistical properties scaling invariance and entropy and also stimulus backgrounds including low pictorial depth predicted better detection performance furthermore category membership only affected search performance if supported by luminance contrast data from an adult comparison group also indicated that infants search performance relied more on lowerorder visual properties than adults taken together these results suggest that infants use a combination of property and categoryrelated information to parse complex visual stimuli",Other
Waymo Open Dataset: Panoramic Video Panoptic Segmentation,https://doi.org/10.1007/978-3-031-19818-2_4,"abstractpanoptic image segmentation is the computer vision task of finding groups of pixels in an image and assigning semantic classes and object instance identifiers to them research in image segmentation has become increasingly popular due to its critical applications in robotics and autonomous driving the research community thereby relies on publicly available benchmark dataset to advance the stateoftheart in computer vision due to the high costs of densely labeling the images however there is a shortage of publicly available ground truth labels that are suitable for panoptic segmentation the high labeling costs also make it challenging to extend existing datasets to the video domain and to multicamera setups we therefore present the waymo open dataset panoramic video panoptic segmentation a largescale dataset that offers highquality panoptic segmentation labels for autonomous driving we generate our dataset using the publicly available waymo open dataset wod leveraging the diverse set of camera images our labels are consistent over time for video processing and consistent across multiple cameras mounted on the vehicles for full panoramic scene understanding specifically we offer labels for 28 semantic categories and 2860 temporal sequences that were captured by five cameras mounted on autonomous vehicles driving in three different geographical locations leading to a total of 100k labeled camera images to the best of our knowledge this makes our dataset an order of magnitude larger than existing datasets that offer video panoptic segmentation labels we further propose a new benchmark for panoramic video panoptic segmentation and establish a number of strong baselines based on the deeplab family of models we have made the benchmark and the code publicly available which we hope will facilitate future research on holistic scene understanding our dataset can be found at waymocomopenkeywordpanoramic video panoptic segmentation",Other
DocSegTr: An Instance-Level End-to-End Document Image Segmentation  Transformer,https://doi.org/10.48550/arXiv.2201.11438,"understanding documents with rich layouts is an essential step towards information extraction business intelligence processes often require the extraction of useful semantic content from documents at a large scale for subsequent decisionmaking tasks in this context instancelevel segmentation of different document objects title sections figures etc has emerged as an interesting problem for the document analysis and understanding community to advance the research in this direction we present a transformerbased model called emphdocsegtr for endtoend instance segmentation of complex layouts in document images the method adapts a twin attention module for semantic reasoning which helps to become highly computationally efficient compared with the stateoftheart to the best of our knowledge this is the first work on transformerbased document segmentation extensive experimentation on competitive benchmarks like publaynet prima historical japanese hj and tablebank demonstrate that our model achieved comparable or better segmentation performance than the existing stateoftheart approaches with the average precision of 894 403 834 and 933 this simple and flexible framework could serve as a promising baseline for instancelevel recognition tasks in document images",Other
Improved DeepLabV3+ Network Segmentation Method for Urban Road Scenes,https://doi.org/10.1109/ITAIC54216.2022.9836922,"aiming at the poor accuracy and slow segmentation speed of the current road scene semantic segmentation an improved deeplabv3neural network segmentation algorithm is proposedfirstly the encoder network is changed to a more lightweight mobilenetv3 network which increases the segmentation speed without sacrificing segmentation accuracysecondly the atrous spatial convolutional pyramid pooling aspp is improved in the form of dense connection which further expands the receptive field while maintaining the size of the feature spatial resolution and increases the feature reuse efficiency and the dual attention mechanism is added to the encoder and denseaspp module which improves the recognition effect of the edge area of the model and improves the model segmentation accuracyfinally the multiscale lowlevel semantic features extracted at the encoder are fused at the decoder thereby reducing the loss of spatial information due to subsampling",Other
Multi-Dataset Hyper-CNN for Hyperspectral Image Segmentation of Remote Sensing Images,https://doi.org/10.3390/pr11020435,"this research paper presents novel condensed cnn architecture for the recognition of multispectral images which has been developed to address the lack of attention paid to neural network designs for multispectral and hyperspectral photography in comparison to rgb photographs the proposed architecture is able to recognize 10band multispectral images and has fewer parameters than popular deep designs such as resnet and densenet thanks to recent advancements in more efficient smaller cnns the proposed architecture is trained from scratch and it outperforms a comparable network that was trained on rgb images in terms of accuracy and efficiency the study also demonstrates the use of a bayesian variant of cnn architecture to show that a network able to process multispectral information greatly reduces the uncertainty associated with class predictions in comparison to standard rgb images the results of the study are demonstrated by comparing the accuracy of the networks predictions to the images",Other
Segmentation of Handwritten Arabic Graphemes Using a Directed Convolutional Neural Network and Mathematical Morphology Operations,https://doi.org/10.1016/j.patcog.2021.108288,"a directed convolutional neural network model is proposed partial dilationglobal erosion generates resistance against information loss several recent approaches for the segmentation of graphemescharacters are discussed the overtraces issue is addressed for the first time in the literature mmos can provide real solutions if a convenient strategy is adopted due to the nature of arabic handwriting segmenting words into charactersgraphemes is the most difficult and critical task of the recognition system the present paper proposes an approach to segment handwritten arabic words into graphemes based on a directed convolutional neural network cnn and mathematical morphology operations mmo arabic script is cursive which means that almost all graphemes are connected via horizontal links therefore a technique to remove links will facilitate the segmentation of graphemes in general an mmo such as erosion seems suitable for getting the job done but since arabic handwriting is difficult mmos cause information loss and suffer from many issues such as diacritics and overtraces which lead to overunderbad segmentations to overcome limitations the present paper addresses these issues in the following order the overtraces issue is addressed for the first time in the literature a robust algorithm for diacritics extraction is provided and finally the main segmentation algorithm adopts a strategy based on a partial dilation pdglobal erosion ge technique to combat the information loss issue the pd phase amplifies important regions while ge eliminates links between graphemes the complementarity between pd and ge facilitates the extraction of graphemes and creates resistance against information loss to properly tackle these difficult problems this article exploits the robustness of cnns so a new directed cnn model is suggested the idea is to draw the models attention to certain targeted features which are selected according to the nature of the problem addressed the proposed directed cnn is used in all phases of the segmentation process the experimental results are very encouraging and show that the proposed directed cnn model outperformed basic cnn in many experiments the results also reveal that the followed strategy improved the ability of mmos to perform segmentation and to compete with other approaches in this research area",Other
Food Quality Inspection and Grading Using Efficient Image Segmentation and Machine Learning-Based System,https://doi.org/10.1155/2022/5262294,"one of the most critical aspects of quality assurance is inspecting products for defects before they are sold or shipped a good product is more vital than having more of the same item for a customers enjoyment the client has a significant role in determining the quality of a product another way to think about quality is as the total of all the characteristics that contribute to the creation of items that the client enjoys recently the application of machine vision and image processing technology to improve the surface quality of fruits and other foods has increased significantly this is primarily because these technologies make significant advancements in areas where the human eye falls short this means that by utilizing computer vision and image processing techniques timeconsuming and subjective industrial quality control processes can be eliminated this article discusses how to check and assess food using picture segmentation and machine learning it is capable of classifying fruits and determining whether a piece of fruit is rotten to begin gaussian elimination is used to remove noise from images then photos are subjected to histogram equalization in order to improve their quality segmentation of the image is carried out using the kmeans clustering technique then fruit photos are classified using machine learning methods such as knn svm and c45 these algorithms determine if a fruit is damaged or not",Other
Fish Disease Detection Using Image Based Machine Learning Technique in Aquaculture,https://doi.org/10.1016/j.jksuci.2021.05.003	,"fish diseases in aquaculture constitute a significant hazard to nutriment security identification of infected fishes in aquaculture remains challenging to find out at the early stage due to the dearth of necessary infrastructure the identification of infected fish timely is an obligatory step to thwart from spreading disease in this work we want to find out the salmon fish disease in aquaculture as salmon aquaculture is the fastestgrowing food production system globally accounting for 70 percent 25 million tons of the market in the alliance of flawless image processing and machine learning mechanism we identify the infected fishes caused by the various pathogen this work divides into two portions in the rudimentary portion image preprocessing and segmentation have been applied to reduce noise and exaggerate the image respectively in the second portion we extract the involved features to classify the diseases with the help of the support vector machine svm algorithm of machine learning with a kernel function the processed images of the first portion have passed through this svm model then we harmonize a comprehensive experiment with the proposed combination of techniques on the salmon fish image dataset used to examine the fish disease we have conveyed this work on a novel dataset compromising with and without image augmentation the results have bought a judgment of our applied svm performs notably with 9142 and 9412 percent of accuracy respectively with and without augmentation",Other
TopFormer: Token Pyramid Transformer for Mobile Semantic Segmentation,https://doi.org/10.48550/arXiv.2204.05525,"although vision transformers vits have achieved great success in computer vision the heavy computational cost hampers their applications to dense prediction tasks such as semantic segmentation on mobile devices in this paper we present a mobilefriendly architecture named textbftoken textbfpyramid vision transtextbfformer textbftopformer the proposed textbftopformer takes tokens from various scales as input to produce scaleaware semantic features which are then injected into the corresponding tokens to augment the representation experimental results demonstrate that our method significantly outperforms cnn and vitbased networks across several semantic segmentation datasets and achieves a good tradeoff between accuracy and latency on the ade20k dataset topformer achieves 5 higher accuracy in miou than mobilenetv3 with lower latency on an armbased mobile device furthermore the tiny version of topformer achieves realtime inference on an armbased mobile device with competitive results the code and models are available at httpsgithubcomhustvltopformer",Other
Image positioning and identification method and system for coal and gangue sorting robot,https://doi.org/10.1080/19392699.2020.1760855,"accurately positioning and identifying coal and gangue under the heterogeneous and complex scenarios of coal production is a key and difficult problem for coal and gangue sorting robot this paper",Other
UNetFormer: A UNet-like transformer for efficient semantic segmentation of remote sensing urban scene imagery,https://doi.org/10.1016/j.isprsjprs.2022.06.008,"semantic segmentation of remotely sensed urban scene images is required in a wide range of practical applications such as land cover mapping urban change detection environmental protection and economic assessmentdriven by rapid developments in deep learning technologies the convolutional neural network cnn has dominated semantic segmentation for many years cnn adopts hierarchical feature representation demonstrating strong capabilities for local information extraction however the local property of the convolution layer limits the network from capturing the global context recently as a hot topic in the domain of computer vision transformer has demonstrated its great potential in global information modelling boosting many visionrelated tasks such as image classification object detection and particularly semantic segmentation in this paper we propose a transformerbased decoder and construct a unetlike transformer unetformer for realtime urban scene segmentation for efficient segmentation the unetformer selects the lightweight resnet18 as the encoder and develops an efficient globallocal attention mechanism to model both global and local information in the decoder extensive experiments reveal that our method not only runs faster but also produces higher accuracy compared with stateoftheart lightweight models specifically the proposed unetformer achieved 678 and 524 miou on the uavid and loveda datasets respectively while the inference speed can achieve up to 3224 fps with a 512x512 input on a single nvidia gtx 3090 gpu in further exploration the proposed transformerbased decoder combined with a swin transformer encoder also achieves the stateoftheart result 913 f1 and 841 miou on the vaihingen dataset the source code will be freely available at httpsgithubcomwanglibo1995geoseg",Other
UrbanLF: A Comprehensive Light Field Dataset for Semantic Segmentation of Urban Scenes,https://doi.org/10.1109/TCSVT.2022.3187664,"as one of the fundamental technologies for scene understanding semantic segmentation has been widely explored in the last few years light field cameras encode the geometric information by simultaneously recording the spatial information and angular information of light rays which provides us with a new way to solve this issue in this paper we propose a highquality and challenging urban scene dataset containing 1074 samples composed of realworld and synthetic light field images as well as pixelwise annotations for 14 semantic classes to the best of our knowledge it is the largest and the most diverse light field dataset for semantic segmentation we further design two new semantic segmentation baselines tailored for light field and compare them with stateoftheart rgb video and rgbdbased methods using the proposed dataset the outperforming results of our baselines demonstrate the advantages of the geometric information in light field for this task we also provide evaluations of superresolution and depth estimation methods showing that the proposed dataset presents new challenges and supports detailed comparisons among different methods we expect this work inspires new research direction and stimulates scientific progress in related fields the complete dataset is available at uri xmlnsmmlhttpwwww3org1998mathmathml xmlnsxlinkhttpwwww3org1999xlinkhttpsgithubcomhawkeyegroupurbanlfuri",Other
Automatic pediatric congenital heart disease classification based on heart sound signal,https://doi.org/10.1016/j.artmed.2022.102257,"congenital heart diseases chd are the most common birth defects and the early diagnosis of chd is crucial for chd therapy however there are relatively few studies on intelligent auscultation for pediatric chd due to the fact that effective cooperation of the patient is required for the acquisition of useable heart sounds by electronic stethoscopes yet the quality of heart sounds in pediatric is poor compared to adults due to the factors such as crying and breath sounds this paper presents a novel pediatric chd intelligent auscultation method based on electronic stethoscope firstly a pediatric chd heart sound database with a total of 941 pcg signal is established then a segmentbased heart sound segmentation algorithm is proposed which is based on pcg segment to achieve the segmentation of cardiac cycles and therefore can reduce the influence of local noise to the global finally the accurate classification of chd is achieved using a majority voting classifier with random forest and adaboost classifier based on 84 features containing time domain and frequency domain experimental results show that the performance of the proposed method is competitive and the accuracy sensitivity specificity and f1score of classification for chd are 0953 0946 0961 and 0953 respectively",Other
Image and audio caps: automated captioning of background sounds and images using deep learning,https://doi.org/10.1007/s00530-022-00902-0,"abstract image recognition based on computers is something human beings have been working on for many years it is one of the most difficult tasks in the field of computer science and improvements to this system are made when we speak in this paper we propose a methodology to automatically propose an appropriate title and add a specific sound to the image two models have been extensively trained and combined to achieve this effect sounds are recommended based on the image scene and the headings are generated using a combination of natural language processing and stateoftheart computer vision models a top 5 accuracy of 67 and a top 1 accuracy of 53 have been achieved it is also worth mentioning that this is also the first model of its kind to make this forecast",Other
The Effect of Signal Duration on the Classification of Heart Sounds: A Deep Learning Approach,https://doi.org/10.3390/s22062261,"deep learning techniques are the future trend for designing heart sound classification methods making conventional heart sound segmentation dispensable however despite using fixed signal duration for training no study has assessed its effect on the final performance in detail therefore this study aims at analysing the duration effect on the commonly used deep learning methods to provide insight for future studies in data processing classifier and feature selection the results of this study revealed that 1 very short heart sound signal duration 1 s weakens the performance of recurrent neural networks rnns whereas no apparent decrease in the tested convolutional neural network cnn model was found 2 rnn outperformed cnn using melfrequency cepstrum coefficients mfccs as features there was no difference between rnn models lstm bilstm gru or bigru 3 adding dynamic information and ²mfccs of the heart sound as a feature did not improve the rnns performance and the improvement on cnn was also minimal 25 in macc the findings provided a theoretical basis for further heart sound classification using deep learning techniques when selecting the input length",Other
Robust and Interpretable Temporal Convolution Network for Event Detection in Lung Sound Recordings,https://doi.org/10.1109/JBHI.2022.3144314,"italic xmlnsmmlhttpwwww3org1998mathmathml xmlnsxlinkhttpwwww3org1999xlinkobjectivei this paper proposes a novel framework for lung sound event detection segmenting continuous lung sound recordings into discrete events and performing recognition of each event italic xmlnsmmlhttpwwww3org1998mathmathml xmlnsxlinkhttpwwww3org1999xlinkmethodsi we propose the use of a multibranch tcn architecture and exploit a novel fusion strategy to combine the resultant features from these branches this not only allows the network to retain the most salient information across different temporal granularities and disregards irrelevant information but also allows our network to process recordings of arbitrary length italic xmlnsmmlhttpwwww3org1998mathmathml xmlnsxlinkhttpwwww3org1999xlinkresultsi the proposed method is evaluated on multiple public and inhouse benchmarks containing irregular and noisy recordings of the respiratory auscultation process for the identification of auscultation events including inhalation crackles and rhonchi moreover we provide an endtoend model interpretation pipeline italic xmlnsmmlhttpwwww3org1998mathmathml xmlnsxlinkhttpwwww3org1999xlinkconclusioni our analysis of different feature fusion strategies shows that the proposed feature concatenation method leads to better suppression of noninformative features which drastically reduces the classifier overhead resulting in a robust lightweight network italic xmlnsmmlhttpwwww3org1998mathmathml xmlnsxlinkhttpwwww3org1999xlinksignificancei lung sound event detection is a primary diagnostic step for numerous respiratory diseases the proposed method provides a costeffective and efficient alternative to exhaustive manual segmentation and provides more accurate segmentation than existing methods the endtoend model interpretability helps to build the required trust in the system for use in clinical settings",Other
Automatic Classification of Normal–Abnormal Heart Sounds Using Convolution Neural Network and Long-Short Term Memory,https://doi.org/10.3390/electronics11081246,"the phonocardiogram pcg is an important analysis method for the diagnosis of cardiovascular disease which is usually performed by experienced medical experts due to the high ratio of patients to doctors there is a pressing need for a realtime automated phonocardiogram classification system for the diagnosis of cardiovascular disease this paper proposes a deep neuralnetwork structure based on a onedimensional convolutional neural network 1dcnn and a long shortterm memory network lstm which can directly classify unsegmented pcg to identify abnormal signal the pcg data were filtered and put into the model for analysis a total of 3099 pieces of heartsound recordings were used while another 100 patients heartsound data collected by our group and diagnosed by doctors were used to test and verify the model results show that the cnnlstm model provided a good overall balanced accuracy of 086 001 with a sensitivity of 087 002 and specificity of 089 002 the f1score was 091 001 and the receiveroperating characteristic roc plot produced an area under the curve auc value of 092 001 the sensitivity specificity and accuracy of the 100 patients data were 083 002 080 002 and 085 003 respectively the proposed model does not require feature engineering and heartsound segmentation which possesses reliable performance in classification of abnormal pcg and is fast and suitable for realtime diagnosis application",Other
