,0
2.5D,4
spatially,4
compromising,4
"landmarks,",4
multiclass,4
treatments,4
layers.,4
ASD,4
"quantification,",4
aorta,4
frames.,4
0.83,4
bi-ventricular,4
alignment,4
trajectory,4
alternative,4
computer-assisted,4
(DNN),4
language,4
simultaneous,4
innovative,4
starts,4
improvement.,4
room,4
eliminating,4
selective,4
"changes,",4
decent,4
fields.,4
categories:,4
weights,4
(4),4
(CT,4
mechanism.,4
semantically,4
times.,4
ranges,4
needing,4
inspired,4
remove,4
appropriate,4
la,4
mitigate,4
integral,4
para,4
controlled,4
"factors,",4
deeply,4
que,4
el,4
Esta,4
U-shaped,4
example,4
fibrillation,4
por,4
lo,4
92%,4
averaging,4
configuration,4
"Overall,",4
maintain,4
(SAX),4
9,4
databases,4
supervision.,4
fine-tuned,4
progressively,4
disentangled,4
"structure,",4
210,4
decoding,4
guidelines,4
scenarios.,4
builds,4
advancements,4
"quality,",4
highlighting,4
sites,4
perfusion,4
treat,4
"Multi-Disease,",4
conclude,4
views.,4
Mean,4
apex,4
Self-supervised,4
employing,4
comprised,4
prediction.,4
fibrillation.,4
diseased,4
entirely,4
cover,4
recognized,4
"supervision,",4
classifies,4
others.,4
"(CNN),",4
experiments.,4
tuning,4
"Yet,",4
Residual,4
growth,4
abundant,4
variant,4
Bland-Altman,4
"Lastly,",4
reason,4
patches,4
limitation,4
"male,",4
content,4
inductive,4
congenital,4
adopting,4
offering,4
CHD,4
"(AI),",4
conducting,4
undergoing,4
addressed,4
hidden,4
"manner,",4
"chapter,",4
"experts,",4
Unlike,4
boosts,4
additionally,4
Assessment,4
accuracies,4
intrinsic,4
therapy.,4
axial,4
latter,4
acquire,4
capacity,4
occurrence,4
computation.,4
"maps,",4
synthesize,4
hundred,4
approximately,4
modifications.,4
exact,4
(LVEF),4
"(EDV),",4
play,4
labelling,4
element,4
discriminate,4
"2,",4
"step,",4
cancer.,4
versions,4
proves,4
manifold,4
generalisation,4
Domain,4
border,4
"available,",4
represented,4
prospects,4
qualitatively,4
peak,4
demand,4
attracted,4
Semi-supervised,4
sharing,4
Monte-Carlo,4
vital,4
rigid,4
marginal,4
comprising,4
define,4
computes,4
CNN.,4
digital,4
tasks:,4
50%,4
nine,4
locations,4
transferred,4
trains,4
"infarction,",4
coming,4
MRI-based,4
"phase,",4
distillation,4
diagnoses,4
teacher-student,4
control.,4
IoU,4
"properties,",4
brought,4
"cardiology,",4
exploited,4
score.,4
extensions,4
How,4
94%,4
replace,4
"layers,",4
described,4
NAS,4
considers,4
select,4
data-driven,4
Following,4
tends,4
200,4
biases,4
synthesis.,4
match,4
precision.,4
"conclusion,",4
doctors,4
transformer-based,4
(DCNN),4
assisted,4
robotic,4
"operations,",4
"procedure,",4
hampered,4
"CNNs,",4
observers,4
Leveraging,4
pairwise,4
half,4
assessments,4
dual,4
nonrigid,4
annular,4
inefficient,4
smoothness,4
hierarchical,4
bringing,4
structured,4
CNNs.,4
preserve,4
predictor,4
cardiology.,4
viable,4
pay,4
collection,4
(LV,4
shifts,4
article.,4
scratch.,4
challenging.,4
"prior,",4
fully-automated,4
signals,4
"mechanism,",4
protocols.,4
truth.,4
"Multi-Centre,",4
Multi-Vendor,4
Multi-Disease,4
whose,4
action,4
14,4
finally,4
rated,4
"augmentation,",4
operator,4
vendors,4
quantification.,4
ambiguous,4
radiation,4
controls,4
pre-processing,4
facilitating,4
slice.,4
network’s,4
meta-learning,4
Several,4
different.,4
efficiency.,4
"planning,",4
Delineation,4
care.,4
Knowledge,4
"metric,",4
(MRI).,4
Shape,4
clinicians.,4
anatomies,4
unreliable,4
"future,",4
fuzzy,4
warping,4
saliency,4
differentiate,4
static,4
"instance,",4
Data,4
reconstructions,4
(FCN).,4
secondary,4
3.5,4
removed,4
"studies,",4
submissions,4
lesions.,4
comprehensively,4
formed,4
10%,4
angle,4
aware,4
80%,4
divided,4
independently,4
×,4
minority,4
scoring,4
conditioned,4
validity,4
voxel,4
occurred,4
"enhancement,",4
classes.,4
predictions.,4
category,4
"abdomen,",4
expensive.,4
"Consequently,",4
optical,4
keeping,4
attempt,4
short-term,4
"sizes,",4
fine,4
"code,",4
intra-,4
removing,4
recover,4
outstanding,4
methodological,4
comprises,4
patients’,4
convert,4
"samples,",4
multivariate,4
regression-based,4
artefacts,4
"index,",4
0.96,4
mapped,4
7,4
guarantee,4
establishes,4
paramount,4
coefficient.,4
analysing,4
keep,4
ensures,4
irrelevant,4
multicenter,4
echocardiography,4
intelligence.,4
evaluations,4
ischemic,4
numbers,4
progression.,4
deaths,4
genetic,4
robustness.,4
false,4
compute,4
complexity.,4
"segmentations,",4
stabilize,4
"(MRI),",4
"dependencies,",4
guiding,4
90%,4
"Subsequently,",4
"variability,",4
guides,4
specificity,4
"sequence,",4
kinds,4
architectures.,4
date,4
"prostate,",4
screening,4
associations,4
access,4
mechanics,4
fluid,4
place,4
directions.,4
therapy,4
specialized,4
nnU-Net,4
continues,4
measuring,4
calculating,4
follows,4
biomarkers,4
becomes,4
adjusted,4
"comparison,",4
extent,4
up-sampling,4
reinforcement,4
determination,4
simplify,4
respective,4
verifies,4
dysfunction,4
SOTA,4
researches,4
drops,4
0.74,4
deformations.,4
eliminate,4
"scanners,",4
tumors,4
M&Ms,4
shift.,4
Dilated,4
adaptation.,4
"modeling,",4
protocol,4
resource,4
proposal,4
obtained.,4
"hypertension,",4
domain-invariant,4
cascaded,4
concerning,4
changing,4
guarantees,4
studied,4
unsolved,4
empirically,4
costly,4
worldwide.,4
lightweight,4
operations.,4
plane,4
anterior,4
Among,4
professional,4
"Similarly,",4
assessments.,4
resources,4
beyond,4
ranged,4
holes,4
dealing,4
simulations,4
"which,",4
obtains,4
analyse,4
intersection,4
prognosis,4
"bias,",4
60,4
affected,4
electronic,4
categories,4
firstly,4
events,4
descent,4
optimizer,4
relation,4
out-of-the-box,4
Their,4
If,4
cardiomyopathy.,4
(such,4
failure.,4
evaluation.,4
offered,4
n,4
collecting,3
efficiently.,3
publicly-available,3
0.10,3
ACDC-2017,3
measures.,3
displacement,3
work.,3
Dense,3
"MYO,",3
"phantom,",3
circumferential,3
Fourier,3
already,3
down-sampling,3
blocks.,3
inputs,3
regularizing,3
However,3
(EF).,3
hospitals,3
exchange,3
eye,3
non-medical,3
choices.,3
path,3
"Challenge,",3
echocardiographic,3
Pterygium,3
"objects,",3
centres,3
segmentor,3
Over,3
All,3
severity,3
scribbles.,3
Especially,3
preserves,3
promises,3
"resolutions,",3
myocarditis,3
background.,3
infected,3
STACOM,3
"(i.e.,",3
97%,3
"monitoring,",3
learning;,3
SSIM,3
designs.,3
non-annotated,3
"cost,",3
bi-ventricle,3
edges,3
endo-,3
"indices,",3
layer.,3
costs,3
Contemporary,3
mimic,3
condition.,3
considerably,3
continuously,3
motivated,3
workflows.,3
effects.,3
imposed,3
low-resolution,3
complicated,3
Global,3
multimodality,3
area.,3
2020.,3
blurring,3
straightforward,3
platforms,3
impractical,3
DeU-Net,3
rendering,3
variations.,3
neither,3
offset,3
TDAM,3
"value,",3
globally.,3
surpasses,3
Module,3
suggests,3
Aggregation,3
subtle,3
emphasize,3
(DeU-Net),3
preservation.,3
subjective,3
errors.,3
theoretical,3
repeated,3
issue.,3
organs.,3
poor-quality,3
input.,3
newly,3
ascending,3
them.,3
precession,3
g,3
(95%,3
clinics,3
passive,3
outputs.,3
cues,3
finite,3
Accurately,3
"uncertainty,",3
"(ESV),",3
penalize,3
lengthy,3
foreground,3
model-level,3
improved.,3
verified,3
rank,3
attractive,3
choices,3
generalizing,3
registered,3
low-contrast,3
probabilities,3
knee,3
MI.,3
rare,3
planning.,3
"3,",3
"computing,",3
alongside,3
fails,3
capsule,3
small.,3
localized,3
regardless,3
interactions.,3
pixels.,3
"namely,",3
brain.,3
"echocardiography,",3
2018.,3
1D,3
neuroimaging,3
patch,3
"recognition,",3
Contour,3
reductions,3
GPU,3
mL,3
Focal,3
records,3
Rather,3
Objective:,3
discriminator.,3
visually,3
suppress,3
add,3
confirm,3
"general,",3
"left,",3
postprocessed,3
query,3
contained,3
2009,3
"sharing,",3
proximal,3
volumetry,3
innovation,3
descending,3
"0.95,",3
"Biobank,",3
operate,3
usage,3
pixelwise,3
"distance,",3
drawback,3
"(LVESV),",3
"frames,",3
"base,",3
examined,3
Images,3
localizing,3
sound,3
(RA),3
cycles,3
sampled,3
nearly,3
"fine-tuning,",3
task-agnostic,3
"(FCNs),",3
reduction.,3
"Networks,",3
artifact,3
block.,3
"interactions,",3
artifacts.,3
discomfort.,3
Pyramid,3
"regression,",3
holding,3
saves,3
devices,3
"such,",3
outliers,3
mapping.,3
nnU-net,3
interdisciplinary,3
ignore,3
death.,3
life,3
unexpected,3
corrected,3
"scenario,",3
carcinoma,3
angiography,3
(NPC),3
corrections,3
seconds,3
stochastic,3
manuscript,3
120,3
2017.,3
(MM-WHS),3
groups),3
(3,3
"works,",3
separately,3
tools.,3
decreased,3
tracing,3
"contours,",3
"standard,",3
multi-centre,3
"efficiency,",3
methodologies,3
created,3
delineates,3
construction,3
0.02,3
articles,3
ability.,3
(AF),3
losses.,3
"identification,",3
AF,3
high-dimensional,3
"outcomes,",3
moving,3
"worldwide,",3
depth,3
behavior,3
aided,3
recently.,3
"controls,",3
focal,3
disentanglement,3
NPC,3
"confounders,",3
millions,3
two-stage,3
Whole,3
indications,3
optimally,3
years).,3
relieve,3
efforts.,3
"diabetes,",3
"scarcity,",3
Clinicians,3
trials,3
retrain,3
(iii),3
generalizability.,3
environments,3
delineation.,3
geometrical,3
Reconstruction,3
United,3
distribution.,3
110,3
(5),3
17,3
(CHD),3
received,3
parameterized,3
atlas,3
B-spline,3
penalty,3
globally,3
septal,3
intrinsically,3
geodesic,3
dividing,3
Dynamic,3
Ten,3
32,3
perceptual,3
modelling.,3
3-D,3
unrealistic,3
pair,3
"databases,",3
association,3
transport,3
leaving,3
upgrade,3
multitude,3
vulnerable,3
perturbations.,3
significantly.,3
(SSL),3
label.,3
appearances,3
segmentationDeep,3
preferred,3
computerized,3
substitute,3
transfers,3
dimensions.,3
"system,",3
uniform,3
performed.,3
volunteers,3
valvular,3
initialized,3
evaluated.,3
clean,3
Myo,3
distinguish,3
eleven,3
numerical,3
hypertension.,3
spectral,3
reaching,3
provision,3
pelvic,3
"MRIs,",3
"developed,",3
discussion,3
unmet,3
necessary.,3
2.9,3
years;,3
"pathologies,",3
prove,3
"fast,",3
concatenated,3
"RV,",3
cropping,3
"tomography,",3
helpful,3
2021,3
thoracic,3
Supplemental,3
(NAS),3
(SD),3
"CI,",3
optimizes,3
"components,",3
stratified,3
Algorithm,3
surrogate,3
competing,3
(cine-MRI),3
multi-view,3
Spatial,3
"design,",3
CI,3
cascade,3
"5,903",3
SD,3
researchers.,3
recovery,3
curated,3
quality-controlled,3
projection,3
slow,3
steady,3
year,3
"scheme,",3
purposes.,3
outcome,3
manual:,3
grouped,3
analytical,3
class.,3
racial,3
Conclusion:,3
spurious,3
lies,3
AHA,3
presenting,3
vessels,3
lung,3
2-dimensional,3
"pixels,",3
slices),3
workflow.,3
data).,3
"GAN,",3
spread,3
cardiologists,3
500,3
dangerous,3
image-based,3
contrast-enhanced,3
COVID-19,3
factors.,3
HD95,3
enough,3
people,3
race,3
"age,",3
repeatability,3
aligning,3
"Transformer,",3
network-based,3
equally,3
shortcomings,3
treated,3
inferior,3
stenosis,3
annotation-efficient,3
0.80,3
agent,3
adoption.,3
aspect,3
eight,3
areas.,3
perpendicular,3
erroneous,3
modular,3
potential.,3
4.5,3
stack,3
T,3
coordinate,3
"fusion,",3
prevent,3
scheme.,3
"stages,",3
"0.91,",3
"5,",3
"score,",3
scarce.,3
thresholds,3
lost,3
baselines,3
cubic,3
multiresolution,3
enforces,3
bottom,3
smoother,3
Building,3
Computing,3
Computer,3
locate,3
discusses,3
counterparts.,3
Intervention,3
Transformer-based,3
inter-subject,3
"workflow,",3
routines,3
mainstream,3
artificially,3
UDA,3
"decade,",3
bases,3
insufficient,3
a),3
b),3
c),3
"community,",3
subspace,3
depending,3
biophysical,3
Ejection,3
personalised,3
goal,3
earlier,3
detector,3
Unsupervised,3
speckle,3
gray,3
100),3
0.98,3
exceeds,3
recovered,3
hinders,3
"Next,",3
flag,3
suffers,3
classifiers,3
strains,3
track,3
realize,3
estimations,3
rates,3
"anatomy,",3
Biomedical,3
"(ROI),",3
sum,3
annotate,3
exam,3
tree,3
MNIST,3
matrix,3
Search,3
Normalization,3
kind,3
covariate,3
DCNN,3
progression,3
"Thirdly,",3
it.,3
gets,3
convex,3
automation.,3
multilayer,3
extraction.,3
datos,3
"manually,",3
convolutions,3
coarse-to-fine,3
Its,3
2012,3
NN,3
"Especially,",3
"automatic,",3
"shapes,",3
Architecture,3
no-reflow,3
Group,3
weight-pruner,3
"(ML),",3
structure.,3
positional,3
"details,",3
biomechanical,3
vanilla,3
biomechanically,3
(VAE),3
application-specific,3
(AUC),3
life.,3
regularisation.,3
biomechanics-informed,3
persistent,3
"smoothness,",3
They,3
capabilities,3
nascent,3
undersampled,3
inverse,3
ill-posed,3
application.,3
processing.,3
BN,3
isolated,3
combinations,3
essentially,3
quickly,3
overfitting.,3
scaling,3
"control,",3
(intraclass,3
cada,3
high-throughput,3
discrepancy,3
CycleGAN,3
concatenation,3
environment.,3
La,3
Current,3
roles,3
"deployment,",3
doctors.,3
multi-vendor,3
"CNN,",3
mitigates,3
gated,3
0.001,3
"is,",3
attempts,3
multi-center,3
moderate,3
computations,3
implanted,3
biased,3
gradient-based,3
hoc,3
post,3
construct,3
del,3
(MYO),3
hypertension,3
(including,3
explainable,3
hyperparameters,3
permite,3
(average,3
"independently,",3
preservation,3
evolutionary,3
motion.,3
inputs.,3
su,3
gradients,3
upper,3
cavities.,3
searches,3
cut,3
4%,3
15%,3
ranked,3
alleviates,3
But,3
optimization.,3
encountered,3
phases.,3
"tracking,",3
plan,3
characterization.,3
existence,3
differential,3
canonical,3
ahead,3
backward,3
(100,3
plug-and-play,3
fusing,3
initialization,3
discrimination,3
system.,3
contest,3
4),3
multi-dimensional,3
decomposition,3
visualize,3
tensor,3
standardization,3
unify,3
distortion,3
hold,3
adopts,3
abnormalities.,3
sites.,3
las,3
matched,3
los,3
sports,3
inteligencia,3
attributes,3
branch,3
performances.,3
aids,3
"0.99,",3
concern.,3
Advances,3
majority,3
restricted,3
"noise,",3
1%,3
professionals,3
Because,3
extends,3
abnormalities,3
scribble,3
deeper,3
gain,3
section,3
boxes,3
0.81,3
correctly,3
"extraction,",3
convergence.,3
Taking,3
filters,3
Further,3
observations,3
precisely,3
gaps,3
interleaved,3
(CAD),3
"times,",3
functions.,3
"cycles,",3
"technique,",3
site,3
Federated,3
(FL),3
"location,",3
FL,3
transcatheter,3
Contrastive,3
pre-train,3
CL,3
assume,3
question,3
dataset),3
requests,3
"specifically,",3
contribute,3
PubMed,3
align,3
remote,3
L2,3
generalisability,3
MRI-guided,3
strict,3
uploaded,3
drastic,3
Multiscale,3
robustly,3
guidance.,3
acceleration,3
possibility,3
advancing,3
neighborhood,3
differed,3
native,3
channel-wise,3
pretende,3
Computational,3
decrease,3
dimension,3
turn,3
ISIC,3
AbstractDeep,3
Vision,3
(ViT),3
interactions,3
filtering,3
"database,",3
"levels,",3
DeepStrain,3
physician,3
CVD.,3
accelerated,3
thickness.,3
implement,3
aprendizaje,3
se,3
3-dimensional,3
AUC,3
imagen,3
preclinical,3
noticeable,3
correction.,3
designs,3
reaches,3
"phases,",3
weakly-supervised,3
former,3
suggesting,3
benchmarks,3
"semi-supervised,",3
aspects:,3
explain,3
"clinical,",3
summarized,3
list,3
aligned,3
alterations,3
wave,3
hundreds,3
42%,3
"(HD),",3
"liver,",3
"space,",3
biological,3
"correction,",3
compared.,3
1000,3
"and,",3
"centers,",3
enlarge,3
"multi-phase,",3
sizes,3
serves,3
reading,3
significance,3
explained,3
imperfect,3
"importantly,",3
examination,3
ever,3
diversified,3
other.,3
prior.,3
hand.,3
project,3
communication,3
examples.,3
"0.83,",3
proportion,3
"scratch,",3
fibroglandular,3
papillary,3
regression.,3
U-net.,3
storage,3
implementation.,3
"article,",3
students,3
dual-task,3
region-based,3
boundary-based,3
deployment,3
strength,3
states,3
warp,3
warped,3
leveraged,3
"manual,",3
relied,3
"Third,",3
step.,3
Absolute,3
indicated,3
length,3
toward,3
handcrafted,3
popularity,3
(LVC),3
lot,3
representational,3
dependencies.,3
rat,3
decade.,3
unprecedented,3
annotation.,3
textures,3
optimised,3
"0.87,",3
inter-rater,3
RVEF,3
overhead,3
(ACDC,3
0.09,3
handling,3
AI-based,3
e.g.,3
minor,3
solved,3
unclear,3
extreme,3
"direction,",3
"conditions,",3
whilst,3
"recently,",3
synthesizing,3
severely,3
marked,3
(LVM),3
0.85,3
300,3
methodology.,3
radiologist,2
algorithmic,2
Adding,2
Radiology,2
affects,2
attributes.,2
drives,2
0.968,2
surfaces.,2
(SA),2
looking,2
individuals.,2
cell,2
Hard,2
"geometry,",2
constitutes,2
grown,2
pupil,2
diminishing,2
beginning,2
0.64,2
heave,2
head,2
intervention,2
pre-procedural,2
dysfunction.,2
Biomechanical,2
GP,2
"ES,",2
2017),2
geometries,2
innovations,2
(c),2
(b),2
2013,2
M&Ms-2,2
explains,2
couple,2
Purpose:,2
evaluations.,2
(a),2
report.,2
Negative,2
atypical,2
blurry,2
non-rigid,2
"rectum,",2
"innovation,",2
social,2
thresholding,2
"bladder,",2
5-fold,2
range.,2
(CE),2
(ASD),2
fully-labeled,2
DNN,2
Accuracy,2
expertise.,2
harmful,2
working,2
contoured,2
ambiguity,2
"technologies,",2
"inhomogeneity,",2
"epochs,",2
hemodynamics,2
Dataset.,2
"DSC,",2
blended,2
"FL,",2
(FCL),2
semi-automatic,2
"component,",2
time-efficient,2
"veins,",2
18%,2
FCL,2
tracking.,2
heartbeat,2
heuristics,2
excited,2
T1-weighted,2
set-based,2
ineffective.,2
CondenseUNet,2
steps:,2
restore,2
HCM,2
scratch,2
labor-intensive.,2
ill-defined,2
"3-,",2
Online,2
adult,2
"platform,",2
slight,2
cava,2
reliably,2
separable,2
"2-,",2
vena,2
showcases,2
Echocardiography,2
weights.,2
discern,2
U,2
"tissue,",2
(2D),2
quantities,2
situations.,2
prevention,2
(HCM),2
procedures.,2
competent,2
92.83%,2
"attacks,",2
two-way,2
synthetically,2
domain-aware,2
"Generally,",2
"controller,",2
veins.,2
"Last,",2
(MI).,2
Late,2
Analysis,2
contents,2
poorly.,2
"compact,",2
offshore,2
CV,2
floating,2
separation,2
content-pattern,2
Instead,2
scarce,2
"challenging,",2
AbstractSemi-supervised,2
cMR,2
domains:,2
helped,2
seeds,2
collapse.,2
recomposing,2
alone,2
in-vivo,2
fitting,2
warning,2
objects.,2
suffered,2
"ratio,",2
unbalanced,2
semi-submersible,2
compact,2
"CT),",2
forces,2
compensation,2
two-wave,2
lacks,2
Extensively,2
CE,2
one-,2
motions,2
"MRI),",2
repeating,2
cap,2
direction.,2
forecasting,2
usage.,2
bidirectional,2
(BiUDA),2
safe,2
post-processed,2
imaging:,2
95th,2
approximation,2
Spleen,2
at-risk,2
expansion,2
distilling,2
sampling.,2
arrhythmias,2
summarizes,2
certainties,2
compensate,2
"assessed,",2
instance,2
three-sequence,2
class-wise,2
"inside,",2
voxels,2
Mining,2
anatomy-specific,2
discovered,2
Example,2
"purposes,",2
attributed,2
spent,2
post-processing.,2
multi-source,2
showcasing,2
percentile,2
registering,2
dynamically,2
preparation,2
target-domain-styled,2
"precision,",2
whereby,2
low-data,2
smallest,2
source-domain,2
diastole,2
transforming,2
SR,2
BiUDA,2
hyperparameters.,2
happens,2
indistinguishable,2
part.,2
"adaptations,",2
(CCTA),2
"assessment,",2
"boundaries,",2
definitions,2
instances,2
golden,2
"limited,",2
k-space,2
anatomies.,2
entries,2
"records,",2
electrophysiological,2
(GP).,2
Multi-Sequence,2
0.997,2
0.06,2
&lt;,2
conference.,2
ventricleRight,2
relation-driven,2
imagingDeep,2
learningImage,2
160,2
organizers,2
predefined,2
respiratory,2
white).,2
"different,",2
readily,2
"lesions,",2
geometry.,2
hosted,2
non-COVID,2
inadequacy,2
cohorts.,2
countries.,2
recommended,2
log,2
posing,2
AbstractRecent,2
ventricleImage,2
threat,2
underscore,2
tested.,2
recovering,2
infection,2
0.53,2
COVID-19.,2
agreement.,2
"rate,",2
infections.,2
feature-level,2
learningCardiac,2
ANCOVA,2
theory,2
garnered,2
map),2
started,2
indices.,2
"imbalance,",2
(white,2
"scan,",2
Multi-Scale,2
decoupled,2
strategies:,2
"sampling,",2
balance,2
industries,2
learningActive,2
fight,2
misalignment,2
(spatial),2
illustrates,2
illustrated.,2
promotes,2
cutting-edge,2
indicators,2
dice.,2
4.2%,2
owing,2
"qualities,",2
sex.,2
"shifts,",2
3.0%,2
cardiologists.,2
81%,2
guidelines.,2
virus,2
(ICC,2
distance),2
mortality.,2
"condition,",2
"ENet,",2
awareness,2
(3D,2
pterygium,2
cited,2
occasionally,2
regularizes,2
"protocols,",2
"texture,",2
correlates,2
representing,2
radiation.,2
5.8,2
through-plane,2
prevalent,2
Index,2
well-established,2
standard.,2
0.991,2
utilised,2
high-risk,2
plans.,2
0.961,2
Boundary,2
0.86,2
million,2
pigs,2
(EMIDEC),2
recorded,2
87,2
contagious,2
LVQuan19,2
"group,",2
from.,2
isosurface,2
topics,2
(DNNs),2
MRICardiac,2
+,2
"analyses,",2
"union,",2
Coronavirus,2
(COVID-19),2
scanner.,2
52%,2
searching,2
sex/racial,2
well.,2
sex,2
side,2
shuffle,2
nnUNet.,2
differ,2
"segmented,",2
"capability,",2
"so,",2
75,2
"cohort,",2
camera,2
distance.,2
phone,2
"(r),",2
backpropagation,2
perfectly,2
multiphase,2
∼94%,2
interested,2
"position,",2
radiological,2
Indonesia,2
disease),2
(CaVAT),2
agreed,2
enhancing,2
0.08,2
kappa,2
interventional,2
Reinforce,2
calibrated,2
PCL,2
non-differentiable,2
infarct,2
principle,2
malignancy,2
ordinary,2
(LV).,2
diabetic,2
evidenced,2
out-of-distribution,2
interpolation.,2
locations.,2
Virtual,2
struggle,2
discontinuity,2
acts,2
spatio-temporally,2
team,2
Applied,2
reconstructs,2
(PCL),2
image),2
"exams,",2
myocarditis.,2
"basis,",2
U-Nets,2
compares,2
AI.,2
"exam,",2
"acquisitions,",2
clinically-relevant,2
Siemens,2
exchanged,2
Volumetric,2
Bland–Altman,2
private.,2
Median,2
special,2
prognostication.,2
57,2
analysed,2
benchmarks.,2
"anatomies,",2
Simply,2
training;,2
cells,2
"0.98,",2
connectivity.,2
"wall,",2
adults,2
exploration,2
reports,2
anatomically-plausible,2
children,2
–,2
squeeze,2
fully-supervised,2
ethnic,2
actions,2
Twenty,2
lowest,2
phantoms,2
(PROMISE12),2
155,2
plenty,2
SCD,2
86-89%),2
absolute/relative,2
confounders.,2
seamless,2
architectural,2
better.,2
Prostate,2
GANs.,2
"published,",2
detection.,2
"appearance,",2
96%,2
reasonably,2
expert-level,2
impactful,2
"heterogeneity,",2
others,2
investigates,2
(NNs),2
Enhanced,2
repetitive,2
branchy,2
analyzes,2
discriminators,2
low-quality,2
liver,2
falsely,2
avoids,2
fibrosis,2
painless,2
white,2
synapse,2
merged,2
encoder–decoder,2
generators,2
masking,2
inserted,2
(CL),2
79%,2
curriculum,2
Context-aware,2
high-cost,2
characterizing,2
future.,2
limitation.,2
meet,2
acoustic,2
FLOPs.,2
(SSIM),2
LR-HR,2
sex-balanced,2
"intensive,",2
adjusting,2
sonar,2
disconnected,2
"presented,",2
iterations,2
publications,2
0.0001),2
250,2
abnormality,2
"blood-pool),",2
adhesive,2
"possible,",2
term.,2
indispensable,2
units.,2
(RV,2
decoders,2
invariant,2
"deformation,",2
LVSC,2
"(GANs),",2
fake.,2
runs,2
path.,2
upsampling,2
perturbation,2
perturbed,2
blood-pool,2
Fraction,2
Tackling,2
acceptance,2
vez,2
exige,2
"reason,",2
(180,2
"centers),",2
"velocidad,",2
centralized,2
mayor,2
federatively,2
medicina,2
1.74,2
experimenta,2
observation,2
replaced,2
2.5,2
solutions.,2
continua,2
percent,2
0.8,2
DenseNet,2
processed,2
cross-consistency,2
detects,2
0.84,2
by:,2
neurons,2
union,2
"multi-centre,",2
replacing,2
strides,2
review.,2
threshold,2
(DS),2
comparative,2
"performed,",2
interval,2
image-analysis,2
wise,2
exhibits,2
pertinent,2
segmentation:,2
"frame,",2
(area,2
multi-channel,2
UNet.,2
re-weighting,2
held-out,2
U-Net-based,2
"testing,",2
"0.920,",2
workup,2
epicardium.,2
Challenge.,2
memory-efficient,2
generalisable,2
paramount.,2
capsule-based,2
"blood-pool,",2
circular,2
Hough,2
"Imaging,",2
permits,2
constante,2
profesional,2
harmonic,2
1.00,2
Hence,2
campo,2
propio,2
Classical,2
expertos,2
0.17,2
batiendo,2
0.91.,2
ACDCA,2
(pruebas,2
"vessels,",2
"simulation,",2
programmed,2
tracked,2
paths.,2
hindering,2
profundo,2
accurately.,2
ASSD,2
"0.88,",2
3D-CNN,2
d),2
aunando,2
"personalizada,",2
puertas,2
"sistemas,",2
noncontrast,2
mimicking,2
CT.,2
"reference,",2
paciente;,2
(ASSD).,2
adaptadas,2
"scans,",2
cardiovasculares,2
mundo,2
population.,2
vislumbrar,2
tridimensional,2
arteries.,2
"indexes,",2
Proposed,2
pretrain,2
asistida,2
questionable,2
account.,2
permiten,2
miniaturizados,2
distributed,2
dispositivos,2
(mHealth),2
approaching,2
salud,2
nuevas,2
incluye:,2
camino,2
patient's,2
classic,2
diligent,2
ola,2
nueva,2
salud.,2
limit,2
institutions,2
"promise,",2
single-center,2
impulsada,2
GANs,2
Weakly,2
0.878,2
arrhythmic,2
vez;,2
records.,2
pacientes,2
"care,",2
miles,2
illustrative,2
cientos,2
"dynamics,",2
"lugar,",2
hora,2
cualquier,2
underpowered,2
deploying,2
solvers.,2
streamlined,2
objectives,2
Nasopharyngeal,2
"Tool,",2
DL-RVEF,2
radiotherapy,2
CMRadjustNet.,2
"CMRadjustNet,",2
user-interface,2
(UI),2
command-line,2
Adjust,2
replacement,2
gross,2
(GTV),2
Convolution,2
basis.,2
%,2
conventionally,2
orientation.,2
2019,2
"patterns,",2
solver,2
HD).,2
clip,2
expert.,2
LVC,2
DGPA,2
"inclusive,",2
gauge,2
inclusive,2
(ASSD,2
etc.),2
experimentally,2
multi-tasking,2
kernel-cut,2
recall,2
"expensive,",2
"improved,",2
"0.92),",2
(the,2
Orientation,2
"visualization,",2
"morphology,",2
"adjustment,",2
"post-processing,",2
"tedious,",2
flagging,2
modelling,2
users,2
surpassing,2
anomaly,2
stiffness,2
Significance:,2
0.975,2
(MI),2
ml,2
composition,2
"0.86–0.99,",2
pathology.,2
"efficacy,",2
bSSFP,2
"e.g.,",2
consistency.,2
0.12,2
(RVEF),2
MyoPS,2
individuals,2
operations;,2
iterated,2
intraobserver,2
reference.,2
classifications,2
SAX,2
successful.,2
https://zmiclab.github.io/projects.html.,2
heart’s,2
Beyond,2
supported,2
orientations.,2
122,2
spline,2
automatically.,2
90,2
segmentationMachine,2
82%,2
91%,2
(DGPA),2
networks:,2
contouring.,2
"reliability,",2
denser,2
interpolating,2
(SVIN),2
modeling.,2
differs,2
SVIN,2
85.9%,2
stacked,2
tend,2
single-domain,2
86.5%,2
two-image,2
sectors,2
volumes;,2
multi-domain,2
interpolate,2
90.3%,2
domains.We,2
Combined,2
ischemia.,2
reliability.,2
all.,2
Thickness,2
triple,2
minimally,2
solvers,2
"images),",2
involved.,2
promoting,2
translate,2
education,2
prevention.,2
nuclear,2
doses,2
Net,2
fusion-based,2
steady-state,2
"distribution,",2
humans,2
Position,2
"targets,",2
apex.,2
one-to-one,2
referred,2
paths,2
